City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
79,Lorengau,PG,83.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
83,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
86,Grand Gaube,MU,75.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
88,Lagos,NG,80.92,clear sky,6.5833,3.75,
89,Muli,MV,81.05,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
92,Atuona,PF,77.74,clear sky,-9.8,-139.0333,Villa Enata
94,Sambava,MG,74.55,few clouds,-14.2667,50.1667,Melrose
96,The Valley,AI,77.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
109,Kirakira,SB,78.94,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
110,Mogadishu,SO,75.94,overcast clouds,2.0371,45.3438,Hotel Juba
113,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
115,Vila Velha,BR,73.35,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
121,Puerto Leguizamo,CO,77.7,moderate rain,-0.1934,-74.7819,la casona de juancho
122,Beloha,MG,73.6,scattered clouds,-25.1667,45.05,
