City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
302,Kupang,-10.1667,123.5833,81.36,80,100,2.48,overcast clouds,ID,2022-02-12 00:59:45
303,Wanaka,-44.7,169.15,57.65,83,100,6.11,overcast clouds,NZ,2022-02-12 00:59:45
304,Kahului,20.8947,-156.47,77.85,77,36,5.01,scattered clouds,US,2022-02-12 00:59:45
305,Suntar,62.1444,117.6319,-17.46,100,93,3.74,overcast clouds,RU,2022-02-12 00:59:45
306,Benin,9.5,2.25,74.16,15,8,3.8,clear sky,BJ,2022-02-12 00:59:46
307,Berbera,10.4396,45.0143,72.97,65,30,4.92,scattered clouds,SO,2022-02-12 00:59:46
308,Regina,50.4501,-104.6178,5.0,73,100,4.61,overcast clouds,CA,2022-02-12 00:58:32
309,Bengkulu,-3.8004,102.2655,76.42,81,100,4.32,overcast clouds,ID,2022-02-12 00:55:35
310,Ahuimanu,21.4447,-157.8378,80.37,61,7,5.99,clear sky,US,2022-02-12 00:59:46
311,Heishan,41.6892,122.1128,20.41,55,100,10.85,overcast clouds,CN,2022-02-12 00:59:47
312,Balkanabat,39.5108,54.3671,40.91,70,7,0.54,clear sky,TM,2022-02-12 00:59:47
313,Sanming,26.2486,117.6186,54.57,94,100,2.66,overcast clouds,CN,2022-02-12 00:59:47
314,Dudinka,69.4058,86.1778,-11.79,87,98,13.04,overcast clouds,RU,2022-02-12 00:59:48
315,Bayshore Gardens,27.4253,-82.5904,65.17,68,4,4.92,clear sky,US,2022-02-12 00:59:48
316,Mount Isa,-20.7333,139.5,94.77,28,0,9.22,clear sky,AU,2022-02-12 00:59:48
317,Dehloran,32.6941,47.2679,53.46,78,0,5.28,clear sky,IR,2022-02-12 00:59:48
318,Kasamwa,-2.85,32.4333,62.87,93,98,2.55,overcast clouds,TZ,2022-02-12 00:59:49
319,Kinsale,51.7075,-8.5306,47.57,87,100,23.02,overcast clouds,IE,2022-02-12 00:59:49
320,Lompoc,34.6391,-120.4579,82.54,55,1,6.73,clear sky,US,2022-02-12 00:59:49
321,Mattru,7.6244,-11.8332,73.24,99,32,0.54,scattered clouds,SL,2022-02-12 00:59:50
322,Mount Gambier,-37.8333,140.7667,73.8,38,2,6.22,clear sky,AU,2022-02-12 01:00:50
323,Boyolangu,-8.1181,111.8935,75.31,92,100,8.03,overcast clouds,ID,2022-02-12 01:00:50
324,Radolfzell,47.7333,8.9667,33.17,85,10,3.62,clear sky,DE,2022-02-12 01:00:50
325,Siguiri,11.6667,-9.5,71.01,15,6,4.59,clear sky,GN,2022-02-12 01:00:51
326,Dekar,-21.5333,21.9333,69.04,72,60,5.32,broken clouds,BW,2022-02-12 01:00:51
327,Port Macquarie,-31.4333,152.9167,74.89,63,97,16.71,overcast clouds,AU,2022-02-12 01:00:51
328,Sault Sainte Marie,46.5168,-84.3333,28.69,80,100,19.57,overcast clouds,CA,2022-02-12 00:56:44
329,Meadow Lake,34.8014,-106.5436,54.54,25,0,6.89,clear sky,US,2022-02-12 01:00:52
330,San-Pedro,4.7485,-6.6363,77.9,91,5,4.45,clear sky,CI,2022-02-12 01:00:52
331,Porto Seguro,-16.4497,-39.0647,77.79,87,18,5.23,few clouds,BR,2022-02-12 01:00:52
332,Jaciara,-15.9653,-54.9683,70.93,96,100,2.15,overcast clouds,BR,2022-02-12 01:00:53
333,Castelnaudary,43.3183,1.9545,44.62,76,5,3.2,clear sky,FR,2022-02-12 01:00:53
334,Itoigawa,37.0333,137.85,39.61,58,100,2.66,overcast clouds,JP,2022-02-12 01:00:53
335,Fort Nelson,58.8053,-122.7002,19.83,95,100,3.18,overcast clouds,CA,2022-02-12 01:00:42
336,Bria,6.5423,21.9863,68.65,27,81,2.46,broken clouds,CF,2022-02-12 01:00:54
337,Dingle,10.9995,122.6711,79.07,85,100,12.08,overcast clouds,PH,2022-02-12 01:00:52
338,Saskylakh,71.9167,114.0833,5.7,90,99,13.94,overcast clouds,RU,2022-02-12 00:57:01
339,Naantali,60.4674,22.0243,29.86,80,0,10.36,clear sky,FI,2022-02-12 01:00:54
340,Airai,-8.9266,125.4092,68.9,80,81,2.06,broken clouds,TL,2022-02-12 01:00:55
341,Kalaleh,37.3807,55.4916,46.54,84,99,2.3,overcast clouds,IR,2022-02-12 01:00:55
342,Finnsnes,69.2296,17.9811,25.34,94,100,4.07,overcast clouds,NO,2022-02-12 01:00:55
343,Bull Savanna,17.8868,-77.5902,73.83,83,38,9.1,scattered clouds,JM,2022-02-12 01:00:56
