City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,Bethel,41.3712,-73.414,44.02,55,0,9.22,US,2022-02-09 17:38:16
74,Yuzhno-Kurilsk,44.0306,145.8556,20.32,85,54,11.77,RU,2022-02-09 17:39:44
75,Kavieng,-2.5744,150.7967,80.37,81,48,5.75,PG,2022-02-09 17:39:44
76,Avera,33.194,-82.5271,58.91,38,0,6.15,US,2022-02-09 17:39:45
77,Olafsvik,64.8945,-23.7142,26.56,44,95,12.88,IS,2022-02-09 17:39:45
78,Buala,-8.145,159.5921,79.32,83,97,9.26,SB,2022-02-09 17:39:45
79,Khatanga,71.9667,102.5,-1.16,91,100,15.19,RU,2022-02-09 17:39:46
80,Dingle,10.9995,122.6711,73.58,88,72,8.19,PH,2022-02-09 17:39:46
81,Ilulissat,69.2167,-51.1,10.42,61,100,20.71,GL,2022-02-09 17:39:47
82,Mudgal,16.0167,76.4333,74.8,44,53,9.6,IN,2022-02-09 17:39:47
83,Buchanan,5.8808,-10.0467,87.76,74,99,9.93,LR,2022-02-09 17:39:47
84,Tenenkou,14.4572,-4.9169,88.05,8,0,10.13,ML,2022-02-09 17:39:47
85,Cururupu,-1.8283,-44.8683,83.77,75,47,4.65,BR,2022-02-09 17:39:48
86,Port-Gentil,-0.7193,8.7815,81.03,80,97,10.09,GA,2022-02-09 17:39:48
87,Gizo,-8.103,156.8419,81.72,79,94,9.28,SB,2022-02-09 17:39:48
88,Ancud,-41.8697,-73.8203,72.43,62,70,10.85,CL,2022-02-09 17:40:49
89,Ponta Do Sol,32.6667,-17.1,71.71,78,100,5.77,PT,2022-02-09 17:40:50
90,Shahpur,16.7,76.8333,76.89,44,98,4.92,IN,2022-02-09 17:40:51
91,Nouakchott,18.0858,-15.9785,94.93,18,54,12.97,MR,2022-02-09 17:38:24
92,Kenai,60.5544,-151.2583,19.45,93,100,10.36,US,2022-02-09 17:40:53
93,Souillac,-20.5167,57.5167,79.18,78,40,3.44,MU,2022-02-09 17:40:54
94,Dikson,73.5069,80.5464,-0.54,95,100,20.85,RU,2022-02-09 17:40:54
95,Dhadar,28.3305,75.0632,61.84,60,1,6.49,IN,2022-02-09 17:40:54
96,Singkang,2.1006,102.7994,76.89,97,100,2.93,MY,2022-02-09 17:40:55
97,Geraldton,-28.7667,114.6,66.61,82,0,6.91,AU,2022-02-09 17:40:55
98,Santa Ines,-3.6667,-45.38,84.92,73,58,3.47,BR,2022-02-09 17:40:55
99,Lima,-12.0432,-77.0282,72.14,73,0,10.36,PE,2022-02-09 17:39:54
100,Ponnampet,12.15,75.9333,63.55,98,48,1.68,IN,2022-02-09 17:40:56
101,Charters Towers,-20.1,146.2667,71.28,85,47,6.2,AU,2022-02-09 17:40:56
102,Bautzen,51.1833,14.4333,48.06,78,100,11.01,DE,2022-02-09 17:40:56
103,Praya,14.9215,-23.5087,82.94,39,0,17.27,CV,2022-02-09 17:40:57
104,Opuwo,-18.0607,13.84,76.08,60,97,16.02,NA,2022-02-09 17:40:57
105,Aku,6.7081,7.3167,93.27,21,71,5.01,NG,2022-02-09 17:40:57
106,Lesnoy,57.6198,63.0784,10.22,95,25,7.45,RU,2022-02-09 17:40:57
107,Yulara,-25.2406,130.9889,76.84,50,3,6.91,AU,2022-02-09 17:40:58
108,Kaitangata,-46.2817,169.8464,58.6,99,100,9.31,NZ,2022-02-09 17:40:58
109,Norman Wells,65.282,-126.8329,-11.16,64,100,21.85,CA,2022-02-09 17:40:59
110,Hithadhoo,-0.6,73.0833,82.9,70,64,14.18,MV,2022-02-09 17:40:59
111,Bredasdorp,-34.5322,20.0403,74.52,53,0,18.41,ZA,2022-02-09 17:38:08
112,Sitka,57.0531,-135.33,46.29,87,100,13.8,US,2022-02-09 17:39:46
113,Torbay,47.6666,-52.7314,41.58,89,75,21.85,CA,2022-02-09 17:41:00
114,Waldoboro,44.0954,-69.3756,39.88,54,7,5.59,US,2022-02-09 17:41:00
115,Tuatapere,-46.1333,167.6833,59.83,98,80,0.67,NZ,2022-02-09 17:41:00
116,Siavonga,-16.5382,28.7088,76.89,81,88,7.31,ZM,2022-02-09 17:41:01
117,Karratha,-20.7377,116.8463,85.53,65,54,3.04,AU,2022-02-09 17:41:01
118,Itupiranga,-5.1347,-49.3267,89.92,55,92,3.51,BR,2022-02-09 17:37:39
119,New Norfolk,-42.7826,147.0587,62.1,65,84,1.99,AU,2022-02-09 17:41:02
120,Mansa,29.9833,75.3833,53.49,74,8,6.26,IN,2022-02-09 17:41:02
121,Chongwe,-15.3292,28.682,67.05,94,90,0.49,ZM,2022-02-09 17:41:03
122,Surt,31.2089,16.5887,57.36,59,97,14.32,LY,2022-02-09 17:41:03
123,Mazyr,52.0495,29.2456,34.43,83,100,10.85,BY,2022-02-09 17:41:03
124,Dana Point,33.467,-117.6981,83.34,26,1,3.0,US,2022-02-09 17:41:04
125,Hambantota,6.1241,81.1185,75.67,78,38,4.34,LK,2022-02-09 17:41:04
126,Mercedes,-34.6515,-59.4307,82.85,22,0,6.15,AR,2022-02-09 17:41:05
127,Pevek,69.7008,170.3133,-32.64,99,100,5.77,RU,2022-02-09 17:41:05
128,Fort Pierce,27.4467,-80.3256,64.08,81,100,8.05,US,2022-02-09 17:41:05
129,Gallup,35.5281,-108.7426,41.02,33,0,1.01,US,2022-02-09 17:41:06
130,Bayevo,53.2833,80.7667,-8.93,97,6,6.78,RU,2022-02-09 17:41:06
131,Salalah,17.0151,54.0924,75.29,12,0,6.91,OM,2022-02-09 17:41:06
132,Jacqueville,5.2052,-4.4146,85.91,84,54,12.59,CI,2022-02-09 17:41:07
133,Hilo,19.7297,-155.09,67.8,92,100,6.91,US,2022-02-09 17:41:09
134,Boa Vista,2.8197,-60.6733,91.38,38,40,8.05,BR,2022-02-09 17:41:08
135,Kaka,37.3482,59.6143,50.23,37,0,2.01,TM,2022-02-09 17:42:07
136,Birobidzhan,48.8,132.95,-2.51,99,100,2.42,RU,2022-02-09 17:42:08
137,Butaritari,3.0707,172.7902,81.64,78,97,16.6,KI,2022-02-09 17:40:58
138,Kieta,-6.2167,155.6333,79.32,84,91,3.24,PG,2022-02-09 17:42:08
139,Olinda,-8.0089,-34.8553,85.73,62,40,9.22,BR,2022-02-09 17:41:14
140,Limon,10.0,-83.0333,82.29,69,0,4.61,CR,2022-02-09 17:42:09
141,Lewistown,40.5992,-77.5714,51.19,45,0,0.0,US,2022-02-09 17:42:10
142,Mananjary,-21.2167,48.3333,77.36,91,41,8.05,MG,2022-02-09 17:42:10
143,Amalapuram,16.5833,82.0167,67.12,83,36,2.93,IN,2022-02-09 17:42:11
